model,year,mileage_km,engine_size_l,fuel_type,transmission,body_condition,color,previous_owners,price_million_toman
Dena,2011,267400.0,1.7,petrol,manual,intact,white,2,369.1
Shahin,2019,111300.0,1.5,petrol,manual,major_paint,white,1,551.5
Hyundai Accent,2010,305200.0,1.6,petrol,manual,intact, grey ,2,901.2
Samand,2017,170200.0,1.8,petrol,manual,minor_paint,blue,2,260.2
Shahin,2005,407200.0,1.5,petrol,manual,major_paint,silver,1,205.9
Tiba,2010,317800.0,1.5,petrol,automatic,minor_paint,red,5,115.3
Peugeot Pars,2010,251200.0,1.8,petrol,automatic,,silver,4,223.6
Toyota Corolla,2012,248600.0,1.8,petrol,manual,minor_paint, silver ,2,1295.6
Hyundai Accent,2007,365600.0,1.6,petrol,manual,minor_paint,black,2,659.9
Dena,2011,303200.0,1.7,petrol,manual,major_paint,black,2,264.5
Tiba,2010,296300.0,1.5,petrol,MANUAL,major_paint,black,5,76.4
Peugeot Pars,2018,187700.0,1.8,petrol,manual,minor_paint,silver,2,402.1
Hyundai Accent,2010,302500.0,1.6,petrol,automatic,minor_paint,white,4,926.9
Dena,2019,83800.0,1.7,petrol_lpg,manual,intact,white,2,571.4
Tiba,2005,380200.0,1.5,petrol_lpg,manual,intact,grey,1,80.7
Toyota Corolla,2024,85600.0,1.8,petrol,manual,minor_paint,red,2,2383.8
Pride,2009,341000.0,1.3,petrol,MANUAL,major_paint,red,2,63.2
Shahin,2011,,1.5,petrol_lpg,manual,intact,black,3,364.1
Quik,2022,105100.0,1.5,petrol,automatic,major_paint,white,1,356.3
Toyota Corolla,2026,19500.0,1.8,petrol,manual,major_paint,silver,3,2380.8
Rana,2016,223000.0,1.6,petrol_lpg,manual,intact,white,3,352.1
Peugeot 206,2016,153400.0,1.4,petrol_lpg,manual,minor_paint,white,4,317.8
Toyota Corolla,2005,383800.0,1.8,petrol,manual,intact,silver,3,980.2
Pride,2014,245400.0,1.3,petrol,manual,intact,blue,4,114.8
Quik,2016,220700.0,1.5,petrol,manual,intact,black,3,221.0
Kia Cerato,2025,37900.0,2.0,petrol,automatic,minor_paint,silver,3,2651.9
Kia Cerato,2025,,2.0,petrol,automatic,minor_paint,blue,4,2177.1
Rana,2012,281200.0,1.6,petrol,manual,accident_repaired,black,4,166.7
Samand,2016,181600.0,1.8,petrol,manual,minor_paint,red,2,240.8
Rana,2024,41700.0,1.6,petrol_lpg,manual,intact,white,3,669.8
Pride,2011,275200.0,1.3,petrol,automatic,major_paint,white,4,89.4
Hyundai Accent,2008,306500.0,1.6,petrol,automatic,intact,black,1,966.9
Peugeot 206,2026,0.0,1.4,petrol,automatic,minor_paint, white ,3,774.3
Dena,2020,134700.0,1.7,petrol_lpg,manual,minor_paint,silver,3,562.0
Tiba,2013,196200.0,1.5,petrol,automatic,intact,white,2,187.8
Quik,2012,261700.0,1.5,petrol,MANUAL,accident_repaired,silver,2,119.7
Toyota Corolla,2009,291600.0,1.8,petrol,manual,intact,black,4,1431.8
Rana,2013,240600.0,1.6,petrol,manual,minor_paint,white,4,271.1
Samand,2012,244300.0,1.8,petrol,automatic,accident_repaired,silver,3,174.6
Toyota Corolla,2007,322600.0,1.8,petrol,manual,accident_repaired,black,3,740.8
Quik,2005,388000.0,1.5,petrol,manual,minor_paint,white,2,100.6
Toyota Corolla,2025,21600.0,1.8,petrol_lpg,manual,intact,black,1,2816.4
Shahin,2022,37100.0,1.5,petrol,manual,major_paint,white,3,700.9
Samand,2013,237000.0,1.8,petrol,manual,minor_paint,white,1,247.2
Quik,2016,162200.0,1.5,petrol,MANUAL,intact,white,5,248.7
Kia Cerato,2012,246000.0,2.0,petrol,manual,intact,grey,2,1115.4
Shahin,2020,76200.0,1.5,petrol,manual,intact,grey,1,794.6
Hyundai Accent,2018,189400.0,1.6,petrol,manual,minor_paint,black,2,1224.3
Dena,2009,294500.0,1.7,petrol,MANUAL,intact,grey,1,295.9
Toyota Corolla,2014,255700.0,1.8,petrol,manual,accident_repaired,white,3,977.0
Quik,2013,274200.0,1.5,petrol,automatic,intact,grey,5,184.2
Quik,2009,308300000.0,1.5,petrol,manual,accident_repaired,black,2,97.6
Peugeot Pars,2017,158200.0,1.8,petrol,manual,intact,red,3,373.9
Tiba,2010,268300.0,1.5,petrol,MANUAL,major_paint,silver,3,101.2
Toyota Corolla,2016,175300.0,1.8,petrol_lpg,MANUAL,intact,silver,1,1551.0
Hyundai Accent,2005,355300.0,1.6,petrol,manual,intact,white,1,747.4
Peugeot Pars,2019,171600.0,1.8,petrol,automatic,minor_paint,white,3,458.5
Rana,2008,325700.0,1.6,petrol_lpg,manual,minor_paint,blue,3,172.4
Dena,2005,382100.0,1.7,petrol_lpg,manual,intact,white,2,249.0
Rana,2012,266300.0,1.6,petrol,manual,intact,blue,1,264.5
Samand,2026,26000.0,1.8,petrol_lpg,manual,intact,blue,3,560.6
Toyota Corolla,2011,315200.0,1.8,petrol,manual,minor_paint, blue ,3,1046.2
Peugeot 206,2022,107200.0,1.4,petrol,manual,minor_paint,white,3,472.2
Dena,2017,208200.0,1.7,petrol,automatic,intact,red,4,551.3
Peugeot Pars,2025,45300.0,1.8,petrol,MANUAL,intact,silver,5,611.0
Samand,2019,161100.0,1.8,petrol,manual,intact,white,5,391.2
Dena,2015,160100.0,1.7,petrol_lpg,automatic,minor_paint,black,2,453.9
Hyundai Accent,2014,186500.0,1.6,petrol,manual,major_paint,black,2,972.0
Samand,2025,6800.0,1.8,petrol_lpg,automatic,intact,red,1,635.7
Kia Cerato,2006,370500.0,2.0,petrol,manual,intact,silver,5,718.5
Samand,2009,281800.0,1.8,petrol,MANUAL,intact,white,1,210.7
Pride,2013,258100.0,1.3,petrol_lpg,manual,minor_paint, white ,2,106.4
Pride,2013,256800.0,1.3,petrol,manual,intact,red,1,118.3
Tiba,2023,61800.0,1.5,petrol,manual,,white,4,361.2
Shahin,2021,95300.0,1.5,petrol,manual,minor_paint,blue,3,740.2
Rana,2020,109100.0,1.6,petrol,manual,minor_paint,white,4,455.2
Quik,2011,322300.0,1.5,petrol,manual,major_paint,silver,1,133.7
Rana,2017,145100.0,1.6,petrol,manual,major_paint, silver ,4,298.0
Kia Cerato,2025,0.0,2.0,petrol,manual,minor_paint,blue,1,2216.0
Peugeot Pars,2016,170000.0,1.8,petrol_lpg,MANUAL,major_paint,silver,2,323.0
Peugeot Pars,2018,186500.0,1.8,petrol,manual,minor_paint,white,4,351.6
Peugeot Pars,2013,277500.0,1.8,petrol,manual,minor_paint,grey,4,252.6
Samand,2011,271800.0,1.8,petrol,MANUAL,accident_repaired,white,3,128.8
Toyota Corolla,2008,332800.0,1.8,petrol,MANUAL,major_paint,red,3,758.7
Hyundai Accent,2012,231400.0,1.6,petrol,automatic,intact,white,1,1222.5
Pride,2017,191900.0,1.3,petrol,automatic,minor_paint, white ,3,169.5
Tiba,2025,10700.0,1.5,petrol_lpg,manual,minor_paint,silver,1,339.3
Samand,2017,192300.0,1.8,petrol,manual,intact,white,3,319.0
Toyota Corolla,2025,36600.0,1.8,petrol,manual,major_paint,grey,2,2507.3
Pride,2019,,1.3,petrol,manual,,silver,4,154.0
Peugeot Pars,2005,364400.0,1.8,petrol,manual,,white,3,140.2
Pride,2026,19200.0,1.3,petrol,automatic,,white,5,307.9
Quik,2005,354500.0,1.5,petrol,manual,major_paint,blue,2,95.7
Peugeot 206,2011,275400.0,1.4,petrol_lpg,manual,accident_repaired,white,3,151.9
Kia Cerato,2005,398000.0,2.0,petrol,manual,intact,white,2,726.6
Samand,2018,160900.0,1.8,petrol_lpg,automatic,minor_paint,grey,5,332.9
Dena,2025,11600.0,1.7,petrol,manual,intact,blue,5,807.8
Samand,2013,250400.0,1.8,petrol_lpg,manual,intact,white,3,201.7
Peugeot 206,2022,24500.0,1.4,petrol_lpg,manual,intact,white,1,580.3
Tiba,2021,97300.0,1.5,petrol_lpg,automatic,major_paint,white,3,236.5
Peugeot 206,2024,45700.0,1.4,petrol,manual,minor_paint,black,2,530.5
Kia Cerato,2022,68000.0,2.0,petrol,manual,minor_paint,blue,4,1922.8
Peugeot Pars,2014,235000.0,1.8,petrol,manual,intact,white,1,348.1
Samand,2011,252200.0,1.8,petrol_lpg,manual,intact,white,1,204.7
Hyundai Accent,2007,365600.0,1.6,petrol,manual,minor_paint,black,2,659.9
Toyota Corolla,2018,124600.0,1.8,petrol,automatic,intact,white,3,2311.8
Samand,2018,131600.0,1.8,petrol,manual,accident_repaired, white ,2,279.6
Toyota Corolla,2007,356000.0,1.8,petrol,automatic,intact,silver,3,1091.6
Dena,2022,63500.0,1.7,petrol,manual,accident_repaired,red,1,462.4
Tiba,2021,91700.0,1.5,petrol,manual,minor_paint,blue,3,267.4
Samand,2019,116300.0,1.8,petrol,manual,intact,white,1,361.9
Shahin,2011,245200.0,1.5,petrol,manual,major_paint, grey ,1,303.0
Rana,2011,247500.0,1.6,petrol,manual,minor_paint, silver ,4,246.9
Samand,2012,263300.0,1.8,petrol,manual,major_paint,silver,4,155.3
Pride,2009,,1.3,petrol_lpg,manual,major_paint,white,3,61.9
Toyota Corolla,2022,85700.0,1.8,petrol,manual,,white,2,2105.2
Dena,2014,222800.0,1.7,petrol,manual,intact,red,5,410.4
Peugeot 206,2005,427500.0,1.4,petrol,manual,minor_paint,silver,5,129.5
Peugeot Pars,2026,0.0,1.8,petrol,manual,intact,red,5,631.2
Quik,2006,354000.0,1.5,petrol,automatic,major_paint,grey,4,102.4
Quik,2009,303100.0,1.5,petrol_lpg,manual,intact,grey,2,141.0
Peugeot 206,2015,172600.0,1.4,petrol_lpg,manual,major_paint, white ,4,257.4
Samand,2019,110600.0,1.8,petrol,automatic,minor_paint,red,2,328.5
Kia Cerato,2005,412300.0,2.0,petrol,manual,minor_paint,white,2,794.9
Pride,2019,146500.0,1.3,petrol,manual,major_paint,blue,4,146.9
Shahin,2014,203900.0,1.5,petrol,manual,minor_paint,silver,2,424.4
Kia Cerato,2008,374500.0,2.0,petrol,MANUAL,major_paint,white,5,699.3
Peugeot 206,2013,222900.0,1.4,petrol,automatic,minor_paint,white,2,276.8
Tiba,2008,365000000.0,1.5,petrol,automatic,major_paint, blue ,5,76.7
Pride,2025,9700.0,1.3,petrol,automatic,major_paint,red,4,235.6
Peugeot 206,2013,247200.0,1.4,petrol,manual,minor_paint,blue,3,219.5
Peugeot Pars,2016,161200.0,1.8,petrol_lpg,automatic,minor_paint,silver,2,382.1
Hyundai Accent,2020,123700.0,1.6,petrol,manual,major_paint,black,3,1144.2
Quik,2021,61300.0,1.5,petrol_lpg,manual,intact,blue,5,290.1
Kia Cerato,2014,239900.0,2.0,petrol,manual,intact,black,4,1244.2
Dena,2020,75500.0,1.7,petrol,manual,intact,black,3,612.9
Quik,2006,356100.0,1.5,petrol,manual,intact,red,5,101.6
Samand,2021,55200.0,1.8,petrol_lpg,automatic,,black,4,449.1
Pride,2018,184300.0,1.3,petrol,manual,major_paint,blue,4,127.6
Dena,2023,57800.0,1.7,petrol,manual,minor_paint,silver,4,688.3
Pride,2006,378500.0,1.3,petrol_lpg,manual,intact,white,1,60.0
Shahin,2008,320600.0,1.5,petrol,manual,major_paint,blue,2,240.0
Peugeot Pars,2006,396000.0,1.8,petrol,manual,intact,white,2,177.1
Rana,2024,36200.0,1.6,petrol,automatic,intact,black,2,756.5
Dena,2022,32400.0,1.7,petrol,automatic,minor_paint,black,4,735.7
Tiba,2011,261500.0,1.5,petrol,MANUAL,intact,silver,2,130.2
Tiba,2010,295900.0,1.5,petrol,automatic,intact,blue,5,111.3
Quik,2021,116200.0,1.5,petrol,manual,intact,silver,1,382.8
Tiba,2014,268700.0,1.5,petrol_lpg,manual,minor_paint,white,1,145.1
Quik,2022,124900.0,1.5,petrol,manual,intact,silver,2,365.9
Toyota Corolla,2023,78100.0,1.8,petrol_lpg,automatic,minor_paint, silver ,5,1940.8
Peugeot Pars,2007,325200.0,1.8,petrol,automatic,minor_paint,silver,5,191.3
Dena,2020,71800.0,1.7,petrol_lpg,manual,accident_repaired,blue,2,359.9
Toyota Corolla,2011,317200.0,1.8,petrol,manual,major_paint,silver,4,862.8
Rana,2006,383100.0,1.6,petrol_lpg,manual,major_paint,grey,5,117.1
Dena,2020,101800.0,1.7,petrol,manual,intact,white,5,687.1
Shahin,2019,142800.0,1.5,petrol_lpg,manual,intact,grey,5,485.1
Dena,2009,295600.0,1.7,petrol,automatic,minor_paint, silver ,3,288.9
Tiba,2012,285200.0,1.5,petrol,manual,major_paint,silver,4,112.8
Rana,2023,86600.0,1.6,petrol,manual,major_paint,blue,5,426.8
Quik,2012,300400.0,1.5,petrol_lpg,manual,intact,grey,4,154.9
Rana,2012,214300.0,1.6,petrol,manual,accident_repaired,red,2,148.6
Peugeot 206,2005,383200.0,1.4,petrol_lpg,manual,minor_paint,white,3,131.5
Peugeot 206,2007,330300.0,1.4,petrol,manual,minor_paint,white,3,181.1
Samand,2019,109900.0,1.8,petrol,AUTOMATIC,intact, white ,3,419.9
Pride,2012,286300.0,1.3,petrol,manual,accident_repaired,black,3,71.0
Kia Cerato,2010,256400.0,2.0,petrol,manual,intact,black,2,1082.6
Hyundai Accent,2008,374000.0,1.6,petrol_lpg,manual,intact,white,1,716.8
Kia Cerato,2012,267400.0,2.0,petrol,automatic,minor_paint,white,3,1093.2
Samand,2006,345900.0,1.8,petrol,manual,intact,grey,3,150.5
Peugeot 206,2025,1300.0,1.4,petrol,manual,minor_paint,silver,5,565.5
Samand,2006,352400.0,1.8,petrol_lpg,MANUAL,minor_paint,silver,5,118.0
Dena,2019,,1.7,petrol_lpg,manual,minor_paint,silver,3,496.7
Toyota Corolla,2018,149400.0,1.8,petrol,manual,minor_paint, silver ,3,1790.3
Dena,2008,351700.0,1.7,petrol_lpg,manual,minor_paint,white,4,229.5
Tiba,2012,275400.0,1.5,petrol,automatic,intact,red,5,131.7
Pride,2021,130100.0,1.3,petrol,manual,minor_paint,white,3,204.7
Samand,2022,44700.0,1.8,petrol_lpg,manual,major_paint,silver,4,362.0
Samand,2007,400100.0,1.8,petrol,automatic,minor_paint,silver,2,154.3
Quik,2021,176800.0,1.5,petrol,automatic,accident_repaired,grey,5,188.0
Rana,2020,,1.6,petrol_lpg,manual,,silver,4,540.1
Kia Cerato,2021,86000.0,2.0,petrol_lpg,manual,minor_paint,white,2,2077.8
Peugeot Pars,2007,406600.0,1.8,petrol,manual,minor_paint,blue,5,145.2
Quik,2012,308900.0,1.5,petrol,manual,intact,grey,4,150.8
Peugeot Pars,2008,323500.0,1.8,petrol,automatic,intact,white,4,261.6
Tiba,2007,364600.0,1.5,petrol,manual,minor_paint,blue,2,83.3
Pride,2024,47200.0,1.3,petrol,manual,major_paint,white,3,230.5
Quik,2011,317700.0,1.5,petrol,automatic,minor_paint,white,2,164.8
Shahin,2012,238400.0,1.5,petrol_lpg,manual,minor_paint,silver,4,313.2
Peugeot 206,2020,56000.0,1.4,petrol,manual,intact,red,2,419.2
Dena,2007,288300.0,1.7,petrol,manual,minor_paint,silver,4,239.5
Hyundai Accent,2015,231900.0,1.6,petrol,manual,minor_paint,grey,5,915.3
Tiba,2018,170700.0,1.5,petrol,automatic,intact,silver,4,213.7
Toyota Corolla,2009,272000.0,1.8,petrol_lpg,manual,intact,red,1,1190.5
Hyundai Accent,2020,53700.0,1.6,petrol_lpg,manual,minor_paint,blue,2,1490.6
Shahin,2011,258600.0,1.5,petrol,manual,major_paint,blue,2,313.9
Shahin,2019,125300.0,1.5,petrol,manual,,silver,4,557.3
Dena,2015,184300.0,1.7,petrol,manual,intact,white,2,460.2
Kia Cerato,2007,391300000.0,2.0,petrol,manual,minor_paint,black,4,746.2
Quik,2017,161600.0,1.5,petrol,manual,minor_paint,blue,4,224.4
Kia Cerato,2018,135300.0,2.0,petrol_lpg,manual,intact,black,4,1587.7
Tiba,2008,351200.0,1.5,petrol_lpg,manual,minor_paint,white,2,103.5
Pride,2006,,1.3,petrol,manual,intact,silver,5,60.0
Peugeot 206,2018,116300.0,1.4,petrol,manual,intact,silver,1,464.4
Dena,2018,111600.0,1.7,petrol_lpg,manual,accident_repaired,black,3,339.1
Peugeot 206,2009,323600.0,1.4,petrol,manual,intact,silver,1,217.9
